2B3	INT_PTX_ATOM_G_F32p32reg
2B4	INT_PTX_ATOM_G_F32p64imm
2B5	INT_PTX_ATOM_G_F32p64reg
2B6	INT_PTX_ATOM_G_F64p32imm
2B7	INT_PTX_ATOM_G_F64p32reg
2B8	INT_PTX_ATOM_G_F64p64imm
2B9	INT_PTX_ATOM_G_F64p64reg
2BA	INT_PTX_ATOM_S_32p32imm
2BB	INT_PTX_ATOM_S_32p32reg
2BC	INT_PTX_ATOM_S_32p64imm
2BD	INT_PTX_ATOM_S_32p64reg
2BE	INT_PTX_ATOM_S_64p32imm
2BF	INT_PTX_ATOM_S_64p32reg
2C0	INT_PTX_ATOM_S_64p64imm
2C1	INT_PTX_ATOM_S_64p64reg
2C2	INT_PTX_ATOM_S_F32p32imm
2C3	INT_PTX_ATOM_S_F32p32reg
2C4	INT_PTX_ATOM_S_F32p64imm
2C5	INT_PTX_ATOM_S_F32p64reg
2C6	INT_PTX_ATOM_S_F64p32imm
2C7	INT_PTX_ATOM_S_F64p32reg
2C8	INT_PTX_ATOM_S_F64p64imm
2C9	INT_PTX_ATOM_S_F64p64reg
2CA	INT_PTX_LDG_GLOBAL_f32areg
2CB	INT_PTX_LDG_GLOBAL_f32areg64
2CC	INT_PTX_LDG_GLOBAL_f32ari
2CD	INT_PTX_LDG_GLOBAL_f32ari64
2CE	INT_PTX_LDG_GLOBAL_f32avar
2CF	INT_PTX_LDG_GLOBAL_f64areg
2D0	INT_PTX_LDG_GLOBAL_f64areg64
2D1	INT_PTX_LDG_GLOBAL_f64ari
2D2	INT_PTX_LDG_GLOBAL_f64ari64
2D3	INT_PTX_LDG_GLOBAL_f64avar
2D4	INT_PTX_LDG_GLOBAL_i16areg
2D5	INT_PTX_LDG_GLOBAL_i16areg64
2D6	INT_PTX_LDG_GLOBAL_i16ari
2D7	INT_PTX_LDG_GLOBAL_i16ari64
2D8	INT_PTX_LDG_GLOBAL_i16avar
2D9	INT_PTX_LDG_GLOBAL_i32areg
2DA	INT_PTX_LDG_GLOBAL_i32areg64
2DB	INT_PTX_LDG_GLOBAL_i32ari
2DC	INT_PTX_LDG_GLOBAL_i32ari64
2DD	INT_PTX_LDG_GLOBAL_i32avar
2DE	INT_PTX_LDG_GLOBAL_i64areg
2DF	INT_PTX_LDG_GLOBAL_i64areg64
2E0	INT_PTX_LDG_GLOBAL_i64ari
2E1	INT_PTX_LDG_GLOBAL_i64ari64
2E2	INT_PTX_LDG_GLOBAL_i64avar
2E3	INT_PTX_LDG_GLOBAL_i8areg
2E4	INT_PTX_LDG_GLOBAL_i8areg64
2E5	INT_PTX_LDG_GLOBAL_i8ari
2E6	INT_PTX_LDG_GLOBAL_i8ari64
2E7	INT_PTX_LDG_GLOBAL_i8avar
